0,1,69,61,86,215 
0,2,296,53,67,168 
0,3,1143,47,54,135 
0,4,1216,74,48,120 
0,5,1173,11,36,90 
0,6,1143,20,36,90 
1,1,69,61,86,215 
1,2,292,53,67,168 
1,3,1145,49,48,120 
1,4,1216,74,48,120 
1,5,1173,11,36,90 
1,6,1143,20,36,90 
2,1,75,67,80,200 
2,2,286,63,61,153 
2,3,1145,49,48,120 
2,4,1212,74,48,120 
2,5,1173,11,36,90 
2,6,1143,20,36,90 
3,1,75,67,80,200 
3,2,278,63,61,153 
3,3,1145,49,48,120 
3,4,1212,74,48,120 
3,5,1173,11,36,90 
3,6,1143,20,36,90 
4,1,75,67,80,200 
4,2,270,63,61,153 
4,3,1145,49,48,120 
4,4,1206,76,54,135 
4,5,1173,11,36,90 
4,6,1147,24,36,90 
4,7,1181,107,72,180 
5,2,261,57,66,165 
5,5,1170,7,38,96 
5,4,1208,74,56,140 
5,1,77,73,78,196 
5,7,1180,105,80,200 
5,3,1147,49,48,120 
5,6,1148,22,36,90 
6,2,253,61,66,165 
6,5,1170,7,38,96 
6,4,1208,74,56,140 
6,1,77,73,78,196 
6,7,1184,105,80,200 
6,3,1147,49,48,120 
6,6,1148,22,36,90 
7,2,249,61,66,165 
7,5,1170,7,38,96 
7,4,1208,74,56,140 
7,1,77,73,78,196 
7,7,1184,105,80,200 
7,3,1147,49,48,120 
7,6,1148,22,36,90 
8,2,241,61,66,165 
8,5,1170,7,38,95 
8,4,1204,78,56,140 
8,1,77,73,78,196 
8,7,1198,107,74,185 
8,3,1147,49,48,120 
8,6,1148,26,36,90 
9,2,233,61,66,165 
9,5,1170,7,38,95 
9,4,1204,78,56,140 
9,1,77,73,78,196 
9,7,1206,107,74,185 
9,3,1151,49,48,120 
9,6,1148,26,36,90 
9,8,1199,56,48,120 
10,2,233,61,66,165 
10,5,1170,7,38,95 
10,4,1204,78,56,140 
10,1,77,73,78,196 
10,7,1206,107,74,185 
10,3,1151,49,48,120 
10,6,1148,26,36,90 
10,8,1197,55,48,120 
11,2,221,61,66,165 
11,5,1170,7,38,95 
11,4,1204,78,56,140 
11,1,77,73,78,196 
11,7,1214,107,74,185 
11,3,1151,53,48,120 
11,6,1152,26,36,90 
11,8,1202,53,48,120 
12,2,213,61,66,165 
12,5,1170,7,38,95 
12,4,1204,78,56,140 
12,1,77,73,78,196 
12,7,1222,107,74,185 
12,3,1151,53,48,120 
12,6,1152,26,36,90 
12,8,1200,52,48,120 
13,2,213,61,66,165 
13,5,1170,7,38,95 
13,4,1204,78,56,140 
13,1,77,73,78,196 
13,7,1226,107,74,185 
13,3,1151,53,48,120 
13,6,1152,26,36,90 
13,8,1203,52,48,120 
14,2,201,61,66,165 
14,5,1170,7,38,95 
14,4,1204,78,56,140 
