0,69,61,86,215
0,296,53,67,168
0,1143,47,54,135
0,1216,74,48,120
0,1173,11,36,90
0,1143,20,36,90
1,69,61,86,215
1,292,53,67,168
1,1145,49,48,120
1,1216,74,48,120
1,1173,11,36,90
1,1143,20,36,90
2,75,67,80,200
2,286,63,61,153
2,1145,49,48,120
2,1212,74,48,120
2,1173,11,36,90
2,1143,20,36,90
3,75,67,80,200
3,278,63,61,153
3,1145,49,48,120
3,1212,74,48,120
3,1173,11,36,90
3,1143,20,36,90
4,75,67,80,200
4,270,63,61,153
4,1145,49,48,120
4,1206,76,54,135
4,1173,11,36,90
4,1147,24,36,90
4,1181,107,72,180
5,261,57,66,165
5,1170,7,38,96
5,1208,74,56,140
5,77,73,78,196
5,1180,105,80,200
5,1147,49,48,120
5,1148,22,36,90
6,253,61,66,165
6,1170,7,38,96
6,1208,74,56,140
6,77,73,78,196
6,1184,105,80,200
6,1147,49,48,120
6,1148,22,36,90
7,249,61,66,165
7,1170,7,38,96
7,1208,74,56,140
7,77,73,78,196
7,1184,105,80,200
7,1147,49,48,120
7,1148,22,36,90
8,241,61,66,165
8,1170,7,38,95
8,1204,78,56,140
8,77,73,78,196
8,1198,107,74,185
8,1147,49,48,120
8,1148,26,36,90
9,233,61,66,165
9,1170,7,38,95
9,1204,78,56,140
9,77,73,78,196
9,1206,107,74,185
9,1151,49,48,120
9,1148,26,36,90
9,1199,56,48,120
10,233,61,66,165
10,1170,7,38,95
10,1204,78,56,140
10,77,73,78,196
10,1206,107,74,185
10,1151,49,48,120
10,1148,26,36,90
10,1197,55,48,120
11,221,61,66,165
11,1170,7,38,95
11,1204,78,56,140
11,77,73,78,196
11,1214,107,74,185
11,1151,53,48,120
11,1152,26,36,90
11,1202,53,48,120
12,213,61,66,165
12,1170,7,38,95
12,1204,78,56,140
12,77,73,78,196
12,1222,107,74,185
12,1151,53,48,120
12,1152,26,36,90
12,1200,52,48,120
13,213,61,66,165
13,1170,7,38,95
13,1204,78,56,140
13,77,73,78,196
13,1226,107,74,185
13,1151,53,48,120
13,1152,26,36,90
13,1203,52,48,120
14,201,61,66,165
14,1170,7,38,95
14,1204,78,56,140
14,77,73,78,196
14,1234,107,74,185
14,1147,57,48,120
14,1156,26,36,90
14,1200,50,48,120
15,201,61,66,165
15,1170,7,38,95
15,1204,78,56,140
15,77,73,78,196
15,1242,107,74,185
15,1147,57,48,120
15,1156,26,36,90
15,1207,49,48,120
16,189,61,66,165
16,1170,7,38,95
16,1204,78,56,140
16,77,69,78,196
16,1248,113,68,170
16,1143,57,48,120
16,1156,26,36,90
16,1204,46,48,120
17,183,63,60,150
17,1170,7,38,95
17,1204,78,56,140
17,77,69,78,196
17,1254,119,62,155
17,1143,57,48,120
17,1156,26,36,90
17,1202,45,48,120
18,175,55,60,150
18,1170,7,38,95
18,1204,78,56,140
18,77,69,78,196
18,1258,119,62,155
18,1143,57,48,120
18,1156,26,36,90
18,1202,44,48,120
19,167,55,60,150
19,1170,7,38,95
19,1204,78,56,140
19,77,69,78,196
19,1258,119,62,155
19,1143,57,48,120
19,1156,26,36,90
19,1202,44,48,120
20,167,55,60,150
20,1170,7,38,95
20,1204,78,56,140
20,77,69,78,196
20,1147,57,48,120
20,1156,26,36,90
20,1200,44,48,120
21,159,55,60,150
21,1170,7,38,95
21,1204,78,56,140
21,77,69,78,196
21,1147,57,48,120
21,1160,30,36,90
21,1196,43,48,120
22,157,57,54,135
22,1170,7,38,95
22,1204,78,56,140
22,77,69,78,196
22,1147,57,48,120
22,1160,30,36,90
22,1192,38,54,135
23,149,57,54,135
23,1170,7,38,95
23,1204,78,56,140
23,77,69,78,196
23,1141,55,54,135
23,1160,30,36,90
23,1191,37,54,135
24,149,57,54,135
24,1170,7,38,95
24,1204,78,56,140
24,77,69,78,196
24,1141,55,54,135
24,1160,30,36,90
24,1193,41,48,120
25,137,57,54,135
25,1170,7,38,95
25,1204,78,56,140
25,77,69,78,196
25,1141,55,54,135
25,1160,34,36,90
25,1193,41,48,120
26,133,53,54,135
26,1170,7,38,95
26,1204,78,56,140
26,77,69,78,196
26,1141,55,54,135
26,1160,34,36,90
26,1193,41,48,120
27,133,45,54,135
27,1170,7,38,95
27,1204,78,56,140
27,77,69,78,196
27,1141,55,54,135
27,1162,36,42,105
27,1187,39,54,135
28,129,49,54,135
28,1170,7,38,95
28,1204,78,56,140
28,77,69,78,196
28,1141,55,54,135
28,1162,36,42,105
28,1187,39,54,135
29,129,49,54,135
29,1170,7,38,95
29,1204,78,56,140
29,77,69,78,196
29,1141,55,54,135
29,1162,36,42,105
29,1187,39,54,135
30,129,49,54,135
30,1170,7,38,95
30,1204,78,56,140
30,77,69,78,196
30,1141,55,54,135
30,1162,36,42,105
30,1187,39,54,135
31,125,45,54,135
31,1170,7,38,95
31,1204,78,56,140
31,77,69,78,196
31,1141,55,54,135
31,1162,36,42,105
31,1187,39,54,135
32,125,45,54,135
32,1170,7,38,95
32,1204,78,56,140
32,77,69,78,196
32,1141,55,54,135
32,1162,36,42,105
32,1187,39,54,135
33,125,45,54,135
33,1170,7,38,95
33,1204,78,56,140
33,77,69,78,196
33,1141,63,54,135
33,1166,36,42,105
33,1187,39,54,135
33,1140,35,42,105
34,125,45,54,135
34,1170,7,38,95
34,1204,78,56,140
34,77,69,78,196
34,1141,63,54,135
34,1166,36,42,105
34,1187,39,54,135
34,1140,35,42,105
35,125,45,54,135
35,1170,7,38,95
35,1204,78,56,140
35,77,69,78,196
35,1141,63,54,135
35,1166,36,42,105
35,1187,39,54,135
35,1140,35,42,105
36,125,45,54,135
36,1170,7,38,95
36,1204,78,56,140
36,77,69,78,196
36,1141,63,54,135
36,1166,36,42,105
36,1187,39,54,135
36,1140,35,42,105
37,129,41,54,135
37,1170,7,38,95
37,1204,78,56,140
37,77,69,78,196
